,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,pensais,thought
5,demande,request
6,genre,kind
7,mois,month
8,laisser,let
9,mettre,to put
10,aucun,no
11,laisse,leash
12,chaque,each
13,parlé,speak
14,arrivé,come
15,devrait,should
16,longtemps,long time
17,heures,hours
18,vont,will
19,pendant,while
20,revoir,meet again
21,aucune,any
22,parle,speak
23,compris,understood
24,étaient,were
25,attention,Warning
26,voici,here is
27,pourrais,could
28,affaire,case
29,donner,give
30,type,type
31,leurs,their
32,donné,given
33,corps,body
34,yeux,eyes
35,façon,way
36,écoute,listen
37,dont,whose
38,trouve,find
39,perdu,lost
40,main,hand
41,première,first
42,côté,side
43,pouvoir,power
44,vieux,old
45,sois,be
46,tiens,here
47,matin,morning
48,tellement,so much
49,point,point
50,venu,came
51,suite,after
52,venez,come
53,vers,towards
54,minutes,minutes
55,demandé,request
56,chambre,bedroom
57,mis,placed
58,belle,beautiful
59,droit,law
60,aimerais,would like to
61,aujourd'hui,today
62,mari,husband
63,cause,cause
64,enfin,finally
65,espère,hope
66,eau,water
67,attendez,Wait
68,parti,left
69,boulot,job
70,arrêter,Stop
71,dirait,would say
72,terre,Earth
73,compte,account
74,donne,given
75,loin,far
76,fin,end
77,croire,believe
78,chérie,sweetheart
79,gros,large
80,aura,will have
81,filles,girls
82,jouer,to play
83,bureau,office
